Rank,DocName,DotProductScore
1,59905,64.0
2,60103,43.0
3,59850,30.0
4,59874,19.0
5,59873,17.0
6,59909,15.0
7,59871,12.0
8,59870,11.0
9,60210,7.0
10,59846,6.0
