Rank,DocName,CosineScore
1,10064,0.22360679774997896
2,10083,0.17334381132038412
3,10063,0.17149858514250882
4,10066,0.14865882924943327
5,10089,0.13545709229571928
6,10052,0.13245323570650439
7,10013,0.12909944487358055
8,51195,0.0944911182523068
9,59913,0.08936251120792892
10,10071,0.08219949365267865
