Rank,DocName,DotProductScore
1,59849,10.0
2,51151,6.0
3,59850,6.0
4,51211,4.0
5,59874,3.0
6,59905,3.0
7,60152,3.0
8,60213,3.0
9,101603,2.0
10,59908,2.0
