Rank,DocName,DotProductScore
1,10011,9.0
2,59913,7.0
3,10083,5.0
4,59850,5.0
5,10066,4.0
6,10089,4.0
7,10074,3.0
8,59873,3.0
9,59874,3.0
10,10013,2.0
