Rank,DocName,CosineScore
1,51060,0.592656553004669
2,51144,0.2775680550013505
3,51120,0.23981604843963608
4,51164,0.230541983810352
5,51135,0.21650635094610968
6,51158,0.2100420126042015
7,51184,0.20100756305184245
8,51171,0.19364916731037085
9,51130,0.17770466332772775
10,51161,0.17251638983558856
