Rank,DocName,CosineScore
1,59905,0.265507600847262
2,60103,0.2506021550576872
3,60170,0.22405535747411046
4,60210,0.21853668936906195
5,59850,0.2097953395741723
6,60195,0.15075567228888184
7,59909,0.1490491187844683
8,60198,0.1307440900921227
9,60200,0.12751534261266767
10,59870,0.1269662828618147
