Rank,DocName,DotProductScore
1,102610,23.0
2,101666,17.0
3,102591,7.0
4,102604,6.0
5,102647,6.0
6,102609,5.0
7,102627,5.0
8,100521,4.0
9,102598,4.0
10,102608,4.0
