Rank,DocName,CosineScore
1,102656,0.11180339887498948
2,102660,0.10540925533894599
3,51207,0.09759000729485331
4,51151,0.09263716756926595
5,59849,0.08617808141029165
6,10027,0.08606629658238704
7,60213,0.07905694150420949
8,102675,0.0778498944161523
9,102626,0.0659380473395787
10,51206,0.0659380473395787
