Rank,Dot Document,Dot Product Similarity,Cosine Document,Cosine Product Similarity
1,102610,23,102598,0.4
2,101666,17,102610,0.37369978746448757
3,102591,7,102647,0.2773500981126145
4,102647,6,101666,0.22572559698446149
5,102604,6,102609,0.22011272658140596
6,102609,5,100521,0.20965696734438366
7,102627,5,102617,0.19245008972987526
8,102598,4,102608,0.173421993904824
9,102648,4,102634,0.1643989873053573
10,102608,4,102622,0.1608168802256692
