Rank,Dot Document,Dot Product Similarity,Cosine Document,Cosine Product Similarity
1,59849,10,102656,0.11180339887498948
2,51151,6,102660,0.10540925533894598
3,59850,6,51207,0.09759000729485333
4,51211,4,51151,0.09263716756926595
5,60152,3,59849,0.08617808141029165
6,60213,3,10027,0.08606629658238703
7,59905,3,60213,0.07905694150420949
8,59874,3,102675,0.0778498944161523
9,60103,2,51206,0.0659380473395787
10,59913,2,102626,0.0659380473395787
