Rank,Dot Document,Dot Product Similarity,Cosine Document,Cosine Product Similarity
1,10011,9,10064,0.22360679774997896
2,59913,7,10083,0.17334381132038412
3,59850,5,10063,0.17149858514250882
4,10083,5,10066,0.14865882924943327
5,10089,4,10089,0.13545709229571928
6,10066,4,10052,0.13245323570650439
7,10074,3,10013,0.12909944487358055
8,59873,3,51195,0.0944911182523068
9,59874,3,59913,0.08936251120792892
10,10052,2,10071,0.08219949365267865
