Rank,Dot Document,Dot Product Similarity,Cosine Document,Cosine Product Similarity
1,51060,185,51060,0.5926565530046691
2,49960,21,51144,0.27756805500135046
3,51153,11,51120,0.23981604843963608
4,51165,10,51164,0.230541983810352
5,51164,9,51135,0.21650635094610968
6,51144,7,51158,0.2100420126042015
7,51120,7,51184,0.20100756305184242
8,51135,6,51171,0.19364916731037085
9,51130,6,51130,0.17770466332772772
10,51161,5,51161,0.17251638983558856
